Year,Annual_NAO_Index,DJFM_NAO_Index,lag_Annual_NAO_Index,lag_DJFM_NAO_Index
1973,0.27,2.52,2.05,0.34
1974,2.18,1.23,0.27,2.52
1975,0.01,1.63,2.18,1.23
1976,0.59,1.37,0.01,1.63
1977,-2.08,-2.14,0.59,1.37
1978,-0.42,0.17,-2.08,-2.14
1979,-0.23,-2.25,-0.42,0.17
1980,-1.58,0.56,-0.23,-2.25
1981,-0.55,2.05,-1.58,0.56
1982,2.63,0.8,-0.55,2.05
1983,0.38,3.42,2.63,0.8
1984,2.17,1.6,0.38,3.42
1985,-3.09,-0.63,2.17,1.6
1986,3.14,0.5,-3.09,-0.63
1987,-3.01,-0.75,3.14,0.5
1988,-0.13,0.72,-3.01,-0.75
1989,2.38,5.08,-0.13,0.72
1990,3.88,3.96,2.38,5.08
1991,1.14,1.03,3.88,3.96
1992,2.54,3.28,1.14,1.03
1993,1.71,2.67,2.54,3.28
1994,2.86,3.03,1.71,2.67
1995,-1.11,3.96,2.86,3.03
1996,-1.98,-3.78,-1.11,3.96
1997,-0.93,-0.17,-1.98,-3.78
1998,1.03,0.72,-0.93,-0.17
1999,2.25,1.7,1.03,0.72
2000,1.18,2.8,2.25,1.7
2001,-1.91,-1.9,1.18,2.8
2002,1,0.76,-1.91,-1.9
2003,-0.09,0.2,1,0.76
2004,0.7,-0.07,-0.09,0.2